FF_HH;PM2_5Max;PM2_5Min;PM2_5Avg;PM10_Max;PM10_Min;PM10_Avg;Nodo
2024-04-16 00:00:44;12,6;11,2;12;13,3;11,2;12,2;Nodo 1 
2024-04-16 00:16:18;14;11,1;12,1;14,9;11,1;12,4;Nodo 1 
2024-04-16 00:30:43;12,3;11,3;11,8;12,6;11,3;12;Nodo 1 
2024-04-16 00:46:17;17;10,7;14,2;17;10,7;14,3;Nodo 1 
2024-04-16 01:00:44;17,4;16,4;16,9;17,4;16,4;16,9;Nodo 1 
2024-04-16 01:16:16;17,7;15,5;17;17,7;15,5;17;Nodo 1 
2024-04-16 01:30:42;18,6;16,2;17,3;20,7;16,2;17,6;Nodo 1 
2024-04-16 01:46:17;17;14;15,8;17;14;15,8;Nodo 1 
2024-04-16 02:00:44;16,2;14,2;15,1;16,2;14,2;15,1;Nodo 1 
2024-04-16 02:16:18;15;12,4;14;16,2;12,4;14,2;Nodo 1 
2024-04-16 02:30:42;14,6;12,1;12,8;15,4;12,1;12,9;Nodo 1 
2024-04-16 02:46:17;13,9;11,1;12,5;15,3;11,1;12,8;Nodo 1 
2024-04-16 03:00:41;13,1;11,4;12,3;14,1;11,4;12,4;Nodo 1 
2024-04-16 03:16:18;14,1;11,9;12,8;15,3;11,9;13,1;Nodo 1 
2024-04-16 03:30:44;15,3;12,3;14;15,3;12,3;14;Nodo 1 
2024-04-16 03:46:17;15,1;12,7;13,8;15,1;12,7;13,9;Nodo 1 
2024-04-16 04:00:41;15,2;14;14,4;16,7;14;14,6;Nodo 1 
2024-04-16 04:16:15;15,5;13,9;14,6;15,5;13,9;14,6;Nodo 1 
2024-04-16 04:30:41;15,8;13,9;14,7;15,8;13,9;14,7;Nodo 1 
2024-04-16 04:46:16;15,6;13,6;15;16,7;13,6;15,2;Nodo 1 
2024-04-16 05:00:43;14,9;13,9;14,4;14,9;13,9;14,4;Nodo 1 
2024-04-16 05:16:18;14,5;13;14;15,1;13;14,3;Nodo 1 
2024-04-16 05:30:43;14,4;13,2;13,8;14,4;13,2;13,8;Nodo 1 
2024-04-16 05:46:16;14,8;13,2;13,8;14,8;13,2;13,8;Nodo 1 
